"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Peter Budaj",6300,"SJ@LA 10:30PM ET",3.800,"LA"
"RW","Kyle Okposo",6300,"NYI@Fla 08:00PM ET",3.370,"NYI"
"D","John Klingberg",6300,"Min@Dal 09:30PM ET",3.069,"Dal"
"RW","Patrick Sharp",6200,"Min@Dal 09:30PM ET",3.277,"Dal"
"C","Nicklas Backstrom",6200,"Phi@Was 07:00PM ET",3.299,"Was"
"D","Drew Doughty",6200,"SJ@LA 10:30PM ET",3.268,"LA"
"G","Stephen Michalek",6200,"Min@Dal 09:30PM ET",0,"Min"
"RW","Jaromir Jagr",6100,"NYI@Fla 08:00PM ET",2.940,"Fla"
"C","Jason Spezza",6100,"Min@Dal 09:30PM ET",3.643,"Dal"
"LW","Jakub Voracek",6100,"Phi@Was 07:00PM ET",3.220,"Phi"
"G","Jason LaBarbera",6000,"Phi@Was 07:00PM ET",0,"Phi"
"D","Ryan Suter",6000,"Min@Dal 09:30PM ET",3.378,"Min"
"G","Justin Peters",6000,"Phi@Was 07:00PM ET",0,"Was"
"C","Logan Couture",6000,"SJ@LA 10:30PM ET",3.207,"SJ"
"G","Mike McKenna",6000,"NYI@Fla 08:00PM ET",0,"Fla"
"G","John Muse",6000,"Min@Dal 09:30PM ET",0,"Dal"
"LW","Jonathan Huberdeau",6000,"NYI@Fla 08:00PM ET",3.216,"Fla"
"G","Anthony Stolarz",6000,"Phi@Was 07:00PM ET",0,"Phi"
"G","Troy Grosenick",6000,"SJ@LA 10:30PM ET",0,"SJ"
"G","Patrik Bartosak",6000,"SJ@LA 10:30PM ET",0,"LA"
"C","Joe Thornton",5900,"SJ@LA 10:30PM ET",3.152,"SJ"
"RW","Brayden Schenn",5900,"Phi@Was 07:00PM ET",3.119,"Phi"
"RW","Tyler Toffoli",5800,"SJ@LA 10:30PM ET",3.238,"LA"
"C","Patrick Marleau",5700,"SJ@LA 10:30PM ET",3.024,"SJ"
"D","John Carlson",5700,"Phi@Was 07:00PM ET",3.614,"Was"
"LW","Jussi Jokinen",5600,"NYI@Fla 08:00PM ET",2.948,"Fla"
"D","Jake Muzzin",5600,"SJ@LA 10:30PM ET",3.146,"LA"
"D","Johnny Boychuk",5500,"NYI@Fla 08:00PM ET",2.979,"NYI"
"RW","T.J. Oshie",5500,"Phi@Was 07:00PM ET",3.154,"Was"
"C","Vincent Trocheck",5500,"NYI@Fla 08:00PM ET",2.959,"Fla"
"LW","Tomas Hertl",5500,"SJ@LA 10:30PM ET",3.012,"SJ"
"LW","Frans Nielsen",5400,"NYI@Fla 08:00PM ET",3.211,"NYI"
"D","Aaron Ekblad",5300,"NYI@Fla 08:00PM ET",2.604,"Fla"
"RW","Justin Williams",5200,"Phi@Was 07:00PM ET",3.055,"Was"
"D","Alex Goligoski",5200,"Min@Dal 09:30PM ET",2.720,"Dal"
"LW","Milan Lucic",5200,"SJ@LA 10:30PM ET",2.506,"LA"
"D","Marc-Edouard Vlasic",5100,"SJ@LA 10:30PM ET",2.924,"SJ"
"C","Mikko Koivu",5000,"Min@Dal 09:30PM ET",2.805,"Min"
"D","Matt Niskanen",5000,"Phi@Was 07:00PM ET",2.640,"Was"
"D","Jared Spurgeon",4900,"Min@Dal 09:30PM ET",2.712,"Min"
"LW","Marian Gaborik",4800,"SJ@LA 10:30PM ET",2.517,"LA"
"D","Alec Martinez",4800,"SJ@LA 10:30PM ET",2.861,"LA"
"RW","Reilly Smith",4800,"NYI@Fla 08:00PM ET",2.829,"Fla"
"C","Nick Bjugstad",4700,"NYI@Fla 08:00PM ET",2.582,"Fla"
"RW","Charlie Coyle",4700,"Min@Dal 09:30PM ET",2.526,"Min"
"D","Radko Gudas",4700,"Phi@Was 07:00PM ET",2.422,"Phi"
"RW","Anders Lee",4700,"NYI@Fla 08:00PM ET",2.395,"NYI"
"RW","Jason Pominville",4600,"Min@Dal 09:30PM ET",2.496,"Min"
"D","Kris Russell",4600,"Min@Dal 09:30PM ET",2.758,"Dal"
"D","Nick Leddy",4600,"NYI@Fla 08:00PM ET",2.305,"NYI"
"D","Mark Streit",4500,"Phi@Was 07:00PM ET",2.413,"Phi"
"LW","Nino Niederreiter",4500,"Min@Dal 09:30PM ET",2.378,"Min"
"RW","Thomas Vanek",4400,"Min@Dal 09:30PM ET",2.388,"Min"
"D","Travis Hamonic",4400,"NYI@Fla 08:00PM ET",2.473,"NYI"
"C","Sean Couturier",4400,"Phi@Was 07:00PM ET",2.492,"Phi"
"D","Matt Dumba",4300,"Min@Dal 09:30PM ET",2.024,"Min"
"C","Erik Haula",4300,"Min@Dal 09:30PM ET",2.038,"Min"
"LW","Andre Burakovsky",4300,"Phi@Was 07:00PM ET",2.100,"Was"
"RW","Jiri Hudler",4200,"NYI@Fla 08:00PM ET",2.216,"Fla"
"D","Brooks Orpik",4200,"Phi@Was 07:00PM ET",2.081,"Was"
"D","Calvin de Haan",4200,"NYI@Fla 08:00PM ET",2.453,"NYI"
"C","Cody Eakin",4200,"Min@Dal 09:30PM ET",2.189,"Dal"
"C","Mikael Granlund",4200,"Min@Dal 09:30PM ET",2.567,"Min"
"RW","Ales Hemsky",4100,"Min@Dal 09:30PM ET",2.420,"Dal"
"D","Michael Del Zotto",4100,"Phi@Was 07:00PM ET",2.519,"Phi"
"C","Brock Nelson",4100,"NYI@Fla 08:00PM ET",2.654,"NYI"
"D","Brian Campbell",4000,"NYI@Fla 08:00PM ET",1.933,"Fla"
"RW","Joel Ward",4000,"SJ@LA 10:30PM ET",2.608,"SJ"
"LW","Teddy Purcell",4000,"NYI@Fla 08:00PM ET",2.319,"Fla"
"C","Marcus Johansson",4000,"Phi@Was 07:00PM ET",2.461,"Was"
"D","Karl Alzner",3900,"Phi@Was 07:00PM ET",2.280,"Was"
"LW","Jason Zucker",3900,"Min@Dal 09:30PM ET",2.174,"Min"
"RW","Patrick Eaves",3800,"Min@Dal 09:30PM ET",1.690,"Dal"
"D","Jason Demers",3800,"Min@Dal 09:30PM ET",2.022,"Dal"
"LW","Joonas Donskoi",3800,"SJ@LA 10:30PM ET",2.050,"SJ"
"LW","Jason Chimera",3700,"Phi@Was 07:00PM ET",2.329,"Was"
"LW","Dustin Brown",3700,"SJ@LA 10:30PM ET",2.280,"LA"
"D","Marco Scandella",3700,"Min@Dal 09:30PM ET",2.180,"Min"
"C","Ryan Strome",3700,"NYI@Fla 08:00PM ET",1.938,"NYI"
"RW","Tanner Pearson",3700,"SJ@LA 10:30PM ET",2.184,"LA"
"LW","Valeri Nichushkin",3700,"Min@Dal 09:30PM ET",1.913,"Dal"
"D","Dmitry Kulikov",3600,"NYI@Fla 08:00PM ET",1.859,"Fla"
"D","Justin Braun",3600,"SJ@LA 10:30PM ET",2.213,"SJ"
"D","Dmitry Orlov",3600,"Phi@Was 07:00PM ET",1.726,"Was"
"LW","Michael Raffl",3600,"Phi@Was 07:00PM ET",1.927,"Phi"
"RW","Kris Versteeg",3500,"SJ@LA 10:30PM ET",2.342,"LA"
"D","Johnny Oduya",3500,"Min@Dal 09:30PM ET",2.018,"Dal"
"D","Nick Schultz",3400,"Phi@Was 07:00PM ET",1.765,"Phi"
"D","Andrew MacDonald",3400,"Phi@Was 07:00PM ET",2.100,"Phi"
"D","Thomas Hickey",3300,"NYI@Fla 08:00PM ET",1.847,"NYI"
"LW","Matt Read",3300,"Phi@Was 07:00PM ET",1.956,"Phi"
"LW","Mattias Janmark",3300,"Min@Dal 09:30PM ET",1.847,"Dal"
"C","Vincent Lecavalier",3200,"SJ@LA 10:30PM ET",1.534,"LA"
"D","Roman Polak",3200,"SJ@LA 10:30PM ET",1.894,"SJ"
"RW","Sam Gagner",3200,"Phi@Was 07:00PM ET",1.541,"Phi"
"LW","Antoine Roussel",3200,"Min@Dal 09:30PM ET",1.932,"Dal"
"RW","Josh Bailey",3100,"NYI@Fla 08:00PM ET",1.722,"NYI"
"RW","Colton Sceviour",3100,"Min@Dal 09:30PM ET",1.980,"Dal"
"C","Radek Faksa",3100,"Min@Dal 09:30PM ET",1.756,"Dal"
"C","Mikhail Grabovski",3000,"NYI@Fla 08:00PM ET",1.831,"NYI"
"D","Luke Schenn",3000,"SJ@LA 10:30PM ET",1.693,"LA"
"RW","Tommy Wingels",3000,"SJ@LA 10:30PM ET",1.875,"SJ"
"D","Marek Zidlicky",2900,"NYI@Fla 08:00PM ET",1.593,"NYI"
"C","Casey Cizikas",2900,"NYI@Fla 08:00PM ET",1.732,"NYI"
"D","Nate Schmidt",2900,"Phi@Was 07:00PM ET",1.750,"Was"
"C","Dave Bolland",2800,"NYI@Fla 08:00PM ET",0.582,"Fla"
"RW","Nikolay Kulemin",2800,"NYI@Fla 08:00PM ET",1.531,"NYI"
"RW","Ryan White",2800,"Phi@Was 07:00PM ET",1.541,"Phi"
"D","Jordie Benn",2800,"Min@Dal 09:30PM ET",1.507,"Dal"
"C","Zac Dalpe",2800,"Min@Dal 09:30PM ET",2.250,"Min"
"D","Alex Petrovic",2800,"NYI@Fla 08:00PM ET",1.430,"Fla"
"C","Jordan Weal",2800,"Phi@Was 07:00PM ET",0.097,"Phi"
"LW","Matt Nieto",2800,"SJ@LA 10:30PM ET",1.486,"SJ"
"D","Mike Reilly",2800,"Min@Dal 09:30PM ET",1.250,"Min"
"D","Paul Martin",2700,"SJ@LA 10:30PM ET",1.613,"SJ"
"RW","Steve Bernier",2700,"NYI@Fla 08:00PM ET",0.825,"NYI"
"RW","Jay Beagle",2700,"Phi@Was 07:00PM ET",1.596,"Was"
"C","Jordan Schroeder",2700,"Min@Dal 09:30PM ET",1.050,"Min"
"D","Steven Kampfer",2700,"NYI@Fla 08:00PM ET",1.094,"Fla"
"D","Patrik Nemeth",2700,"Min@Dal 09:30PM ET",1.106,"Dal"
"D","Stephen Johns",2700,"Min@Dal 09:30PM ET",1.714,"Dal"
"C","Greg McKegg",2700,"NYI@Fla 08:00PM ET",0.842,"Fla"
"D","Brayden McNabb",2700,"SJ@LA 10:30PM ET",1.531,"LA"
"D","Jonas Brodin",2700,"Min@Dal 09:30PM ET",1.429,"Min"
"C","Rocco Grimaldi",2700,"NYI@Fla 08:00PM ET",1.357,"Fla"
"C","Andy Andreoff",2700,"SJ@LA 10:30PM ET",0.869,"LA"
