"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RW","Kasperi Kapanen",2500,"Tor@NJ 07:00PM ET",0.833,"Tor"
"D","Brett Lernout",2500,"TB@Mon 07:00PM ET",0.000,"Mon"
"RW","Evan Rodrigues",2500,"Buf@NYI 07:30PM ET",0,"Buf"
"LW","Andreas Martinsen",2500,"Anh@Col 05:30PM ET",1.170,"Col"
"C","Sergey Kalinin",2500,"Tor@NJ 07:00PM ET",1.101,"NJ"
"D","Dean Kukan",2500,"Chi@Cls 07:00PM ET",0.833,"Cls"
"C","Noel Acciari",2500,"Ott@Bos 12:30PM ET",0.722,"Bos"
"C","Derek Ryan",2500,"Car@Fla 07:00PM ET",1.417,"Car"
"D","Vojtech Mozik",2500,"Tor@NJ 07:00PM ET",0.688,"NJ"
"LW","Paul Bittner",2500,"Chi@Cls 07:00PM ET",0,"Cls"
"RW","Sergei Plotnikov",2500,"Ari@SJ 10:30PM ET",0.500,"Ari"
"D","Ryan Johnston",2500,"TB@Mon 07:00PM ET",0.250,"Mon"
